Brand,Product Name,Price ($),Origin,Health Claims,Bioactives,Source
Maven & bloom,Maven & bloom Sea buckthorn Juice,22.55,Himalayas (India),"Cellular Hydration, Promotes skin health, Heart & Metabolic health","Vitamin K, Omega 7, Omega 6, Vitamin A, Omega 3, 180+ Bioactives",Generated based on prompt domain knowledge
Leh Berry,Leh Berry GI TAG Berry Powder,57.24,Himalayas (India),"Gut Friendly, Heart & Metabolic health, Stress Relief, Menopause support","Vitamin C, Vitamin E, Omega 6, Vitamin K, Omega 3",Generated based on prompt domain knowledge
Leh Berry,Leh Berry Sea buckthorn Juice,17.51,Himalayas (India),"Heart & Metabolic health, Menopause support, Skin hydration","Vitamin A, Vitamin E, Vitamin C",Generated based on prompt domain knowledge
WellWith,WellWith Sea buckthorn Juice,27.38,Himalayas (India),"Stress Relief, Heart & Metabolic health","Vitamin K, Vitamin A, Omega 6, Omega 9, Omega 7, 180+ Bioactives",Generated based on prompt domain knowledge
Wellsash/Biosash,Wellsash/Biosash Sea buckthorn Juice,20.5,"Nubra Valley, Ladakh","Skin hydration, Anti Ageing, Gut Friendly, Promotes skin health","Omega 6, Vitamin E, Omega 7, Vitamin C",Generated based on prompt domain knowledge
WellWith,WellWith Wonder Berry Capsules,48.16,"Nubra Valley, Ladakh","Skin hydration, Cellular Hydration, Promotes skin health","Vitamin E, Vitamin C, Omega 7",Generated based on prompt domain knowledge
Natures Aid Ltd,Natures Aid Ltd Sea buckthorn Oil,60.09,"Nubra Valley, Ladakh","Heart & Metabolic health, Immunity, Cellular Hydration, Gut Friendly","180+ Bioactives, Vitamin C, Omega 9",Generated based on prompt domain knowledge
Sibu,Sibu GI TAG Berry Powder,31.81,Unknown,"Skin hydration, Heart & Metabolic health, Anti Ageing, Gut Friendly","Omega 9, Omega 3, Vitamin E, Omega 7, 180+ Bioactives, Vitamin A",Generated based on prompt domain knowledge
Sibu,Sibu Sea buckthorn Juice,62.37,China,"Menopause support, Skin hydration, Promotes skin health","Omega 9, Vitamin E, Vitamin C, Omega 3, Omega 7",Generated based on prompt domain knowledge
WellWith,WellWith Wonder Berry Capsules,29.3,Himalayas (India),"Stress Relief, Gut Friendly","Vitamin C, 180+ Bioactives, Vitamin A, Omega 3",Generated based on prompt domain knowledge
Leh Berry,Leh Berry Sea buckthorn Juice,52.81,Himalayas (India),"Immunity, Stress Relief, Gut Friendly","Vitamin C, Omega 9, Omega 7",Generated based on prompt domain knowledge
WellWith,WellWith GI TAG Berry Powder,50.78,"Nubra Valley, Ladakh","Promotes skin health, Anti Ageing, Skin hydration, Gut Friendly","Vitamin A, Omega 3, Vitamin E, Omega 9, Omega 6",Generated based on prompt domain knowledge
Wellsash/Biosash,Wellsash/Biosash Sea buckthorn Juice,53.51,"Nubra Valley, Ladakh","Stress Relief, Heart & Metabolic health, Gut Friendly, Promotes skin health","Vitamin A, Vitamin E, Omega 3",Generated based on prompt domain knowledge
Weleda,Weleda Sea buckthorn Juice,33.78,China,"Cellular Hydration, Anti Ageing, Gut Friendly","Vitamin C, Vitamin A, Omega 6, Omega 7, Omega 3, Omega 9",Generated based on prompt domain knowledge
SeabuckWonders,SeabuckWonders Sea buckthorn Juice,49.29,China,"Anti Ageing, Promotes skin health, Gut Friendly, Immunity","Vitamin A, Omega 6, Vitamin C, Vitamin K, Omega 7",Generated based on prompt domain knowledge
Wellsash/Biosash,Wellsash/Biosash GI TAG Berry Powder,29.04,Himalayas (India),"Gut Friendly, Cellular Hydration, Promotes skin health, Immunity","Omega 7, Vitamin A, Vitamin C, Vitamin K, Omega 6, Vitamin E",Generated based on prompt domain knowledge
Terezia company,Terezia company Wonder Berry Capsules,16.91,China,"Gut Friendly, Promotes skin health, Cellular Hydration","Omega 6, Omega 7, Vitamin C, Omega 9",Generated based on prompt domain knowledge
WellWith,WellWith Sea buckthorn Oil,41.56,Himalayas (India),"Skin hydration, Menopause support, Cellular Hydration, Immunity","180+ Bioactives, Omega 6, Omega 9, Omega 7, Vitamin E",Generated based on prompt domain knowledge
Sibu,Sibu Wonder Berry Capsules,23.33,Unknown,"Promotes skin health, Immunity","Vitamin C, 180+ Bioactives, Omega 9, Vitamin A, Omega 3",Generated based on prompt domain knowledge
Pahari haat,Pahari haat GI TAG Berry Powder,24.67,Himalayas (India),"Menopause support, Cellular Hydration, Heart & Metabolic health, Immunity","Omega 7, 180+ Bioactives, Vitamin K, Omega 9, Omega 3, Omega 6",Generated based on prompt domain knowledge
